;cod_modelo_color;cod_color_code;des_agrup_color_eng;des_fabric;des_product_category;des_product_family
27;53070567-02;02;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
28;53060575-52;52;BLUE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
29;53050579-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
30;53030593-52;52;BLUE;P-PLANA;Tops;Shirt
31;53030547-05;05;WHITE;J-JEANS;Bottoms;Shorts
32;53040741-56;56;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
33;53073709-99;99;GREY;P-PLANA;Outerwear;Blazers
34;53080599-37;37;BROWN;P-PLANA;Bottoms;Trousers
35;53003725-99;99;GREY;T-TRICOT;Tops;Sweater
36;53053040-99;99;GREY;K-CIRCULAR;Tops;T-shirt
37;53090974-02;02;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
38;53060987-02;02;WHITE;T-TRICOT;Tops;Tops
39;53063750-01;01;WHITE;P-PLANA;Tops;Shirt
40;53015744-09;09;WHITE;T-TRICOT;Tops;Sweater
41;51015740-02;02;WHITE;P-PLANA;Tops;Shirt
42;53085778-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
43;57097878-43;43;GREEN;P-PLANA;Tops;Shirt
44;57019206-81;81;PINK;T-TRICOT;Tops;Sweater
45;57067887-99;99;GREY;K-CIRCULAR;Tops;T-shirt
46;57007710-99;99;GREY;T-TRICOT;Tops;Sweater
47;57059203-85;85;PINK;T-TRICOT;Tops;Sweater
48;57007709-99;99;GREY;T-TRICOT;Tops;Sweater
49;57057700-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
50;47010422-99;99;GREY;P-PLANA;Tops;Shirt
51;47091297-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
52;57050034-52;52;BLUE;J-JEANS;Tops;Tops
53;57022001-17;17;YELLOW;P-PLANA;Bottoms;Shorts
54;57002518-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
55;57020256-88;88;PINK;K-CIRCULAR;Tops;Tops
56;57020151-07;07;WHITE;J-JEANS;Bottoms;Shorts
57;57000374-99;99;GREY;P-PLANA;Bottoms;Shorts
58;57072516-99;99;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
59;57092003-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
60;57054422-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
61;57001067-02;02;WHITE;K-CIRCULAR;Tops;T-shirt
62;57078266-TM;TM;BLUE;J-JEANS;Bottoms;Skirts
63;57007734-08;08;WHITE;T-TRICOT;Tops;Sweater
64;57007739-09;09;WHITE;T-TRICOT;Tops;Sweater
65;57073821-70;70;RED;P-PLANA;Tops;Tops
66;57057740-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
67;57096029-99;99;GREY;P-PLANA;Outerwear;Coats
68;53030594-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
69;53000588-TC;TC;BLUE;J-JEANS;Bottoms;Jeans
70;53030547-TM;TM;BLUE;J-JEANS;Bottoms;Shorts
71;53090804-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
72;53023714-99;99;GREY;T-TRICOT;Tops;Sweater
73;53050881-17;17;YELLOW;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
74;53083040-08;08;WHITE;T-TRICOT;Tops;Cardigans
75;53050906-99;99;GREY;P-PLANA;Bottoms;Trousers
76;53095015-43;43;GREEN;T-TRICOT;Tops;Sweater
77;53013754-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
78;51055745-TO;TO;BLUE;J-JEANS;Tops;Shirt
79;51015766-92;92;GREY;P-PLANA;Bottoms;Trousers
80;57067883-99;99;GREY;P-PLANA;Tops;Shirt
81;57044755-80;80;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
82;57045938-02;02;WHITE;K-CIRCULAR;Tops;T-shirt
83;57049203-17;17;YELLOW;T-TRICOT;Tops;Cardigans
84;57097696-37;37;BROWN;P-PLANA;Bottoms;Skirts
85;37010684-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
86;47095844-02;02;WHITE;T-TRICOT;Bottoms;Skirts
87;47037825-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
88;57050037-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
89;57010726-88;88;PINK;P-PLANA;Tops;Shirt
90;47087132-08;08;WHITE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
91;57040305-01;01;WHITE;J-JEANS;Bottoms;Jeans
92;57050382-46;46;BLUE;P-PLANA;Tops;Tops
93;57015144-TN;TN;GREY;J-JEANS;Bottoms;Jeans
94;57010481-20;20;ORANGE;K-CIRCULAR;Tops;T-shirt
95;57065788-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
96;57050453-15;15;YELLOW;T-TRICOT;Tops;Tops
97;57094414-94;94;GREY;K-CIRCULAR;Tops;T-shirt
98;57005974-TO;TO;BLUE;J-JEANS;Bottoms;Jeans
99;57055983-99;99;GREY;P-PLANA;Tops;Shirt
100;57091502-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
101;57075812-85;85;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
102;57047760-56;56;BLUE;P-PLANA;Outerwear;Coats
103;57028280-52;52;BLUE;K-CIRCULAR;Tops;T-shirt
104;43040692-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
105;53070611-02;02;WHITE;P-PLANA;Tops;Shirt
106;53030677-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
107;51060677-08;08;WHITE;P-PLANA;Bottoms;Skirts
108;53060722-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
109;53079062-05;05;WHITE;P-PLANA;Outerwear;Puffer coats
110;53080880-37;37;BROWN;T-TRICOT;Bottoms;Trousers
111;43077046-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
112;51003746-85;85;PINK;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
113;53093047-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
114;53091077-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
115;53041096-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
116;53065024-30;30;BROWN;P-PLANA;Bottoms;Skirts
117;51015740-99;99;GREY;P-PLANA;Tops;Shirt
118;57007697-09;09;WHITE;T-TRICOT;Tops;Sweater
119;57007109-92;92;GREY;T-TRICOT;Tops;Sweater
120;57019209-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
121;51083792-15;15;YELLOW;P-PLANA;Bottoms;Trousers
122;57007902-07;07;WHITE;K-CIRCULAR;Tops;T-shirt
123;57027698-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
124;53035770-56;56;BLUE;K-CIRCULAR;Tops;T-shirt
125;57027893-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
126;57029604-56;56;BLUE;P-PLANA;Outerwear;Blazers
127;67010585-09;09;WHITE;T-TRICOT;Tops;Sweater
128;47074023-01;01;WHITE;K-CIRCULAR;Tops;T-shirt
129;57050259-56;56;BLUE;T-TRICOT;Tops;Sweater
130;57013778-88;88;PINK;P-PLANA;Tops;Shirt
131;57044397-50;50;BLUE;P-PLANA;Outerwear;Blazers
132;57000428-01;01;WHITE;P-PLANA;Tops;Shirt
133;57000451-07;07;WHITE;P-PLANA;Bottoms;Skirts
134;57006720-56;56;BLUE;P-PLANA;Outerwear;Coats
135;57074012-07;07;WHITE;K-CIRCULAR;Tops;Shirt
136;57001096-02;02;WHITE;P-PLANA;Bottoms;Trousers
137;57023811-52;52;BLUE;T-TRICOT;Tops;Sweater
138;57045972-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
139;57025980-99;99;GREY;P-PLANA;Outerwear;Blazers
140;57015982-78;78;RED;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
141;57057717-OR;OR;WHITE;K-CIRCULAR;Outerwear;Jackets
142;57006011-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
143;57027741-20;20;ORANGE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
144;67040288-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
145;43027025-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
146;53070584-02;02;WHITE;P-PLANA;Bottoms;Trousers
147;53020606-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
148;53070520-52;52;BLUE;P-PLANA;Bottoms;Shorts
149;53063714-06;06;WHITE;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
150;53080913-02;02;WHITE;P-PLANA;Bottoms;Skirts
151;53070860-05;05;WHITE;T-TRICOT;Tops;Sweater
152;53045028-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
153;51093789-30;30;BROWN;P-PLANA;Outerwear;Coats
154;53075778-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
155;57035904-02;02;WHITE;P-PLANA;Tops;Shirt
156;57955903-43;43;GREEN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
157;53005032-TN;TN;GREY;J-JEANS;Bottoms;Jeans
158;57007900-99;99;GREY;K-CIRCULAR;Tops;T-shirt
159;57017901-05;05;WHITE;T-TRICOT;Tops;Sweater
160;47024024-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
161;47037839-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
162;47037128-08;08;WHITE;P-PLANA;Bottoms;Skirts
163;57082001-99;99;GREY;K-CIRCULAR;Tops;T-shirt
164;57040780-81;81;PINK;P-PLANA;Bottoms;Trousers
165;47038650-06;06;WHITE;K-CIRCULAR;Tops;T-shirt
166;57002891-05;05;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
167;57012898-TM;TM;BLUE;J-JEANS;Bottoms;Jeans
168;57034017-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
169;57041115-85;85;PINK;P-PLANA;Tops;Tops
170;57043803-99;99;GREY;P-PLANA;Bottoms;Trousers
171;57093811-05;05;WHITE;K-CIRCULAR;Tops;Shirt
172;57045800-94;94;GREY;T-TRICOT;Tops;Cardigans
173;57057752-09;09;WHITE;L-PIEL;Outerwear;Jackets
174;57088634-85;85;PINK;K-CIRCULAR;Tops;Tops
175;57009098-99;99;GREY;T-TRICOT;Tops;Sweater
176;41085019-02;02;WHITE;P-PLANA;Tops;Shirt
177;53070609-02;02;WHITE;P-PLANA;Tops;Tops
178;53010608-50;50;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
179;53063706-56;56;BLUE;P-PLANA;Bottoms;Shorts
180;53053710-99;99;GREY;P-PLANA;Tops;Shirt
181;53083715-05;05;WHITE;T-TRICOT;Bottoms;Skirts
182;53040970-02;02;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
183;53095748-92;92;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
184;53063785-15;15;YELLOW;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
185;53095735-PL;PL;GREY;P-PLANA;Tops;Tops
186;53085022-20;20;ORANGE;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
187;53095773-08;08;WHITE;P-PLANA;Bottoms;Skirts
188;57047884-02;02;WHITE;P-PLANA;Tops;Shirt
189;57004005-15;15;YELLOW;P-PLANA;Bottoms;Trousers
190;57034384-99;99;GREY;P-PLANA;Tops;Shirt
191;57019205-99;99;GREY;P-PLANA;Bottoms;Trousers
192;57004393-99;99;GREY;K-CIRCULAR;Tops;T-shirt
193;57069208-99;99;GREY;K-CIRCULAR;Bottoms;Trousers
194;57047699-37;37;BROWN;P-PLANA;Bottoms;Trousers
195;47082880-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
196;47015855-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
197;47075862-68;68;PURPLE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
198;57010046-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
199;57050176-99;99;GREY;P-PLANA;Bottoms;Trousers
200;57050250-30;30;BROWN;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
201;57050273-43;43;GREEN;P-PLANA;Tops;Tops
202;57010756-08;08;WHITE;P-PLANA;Bottoms;Skirts
203;57010293-05;05;WHITE;J-JEANS;Outerwear;Jackets
204;57010241-01;01;WHITE;P-PLANA;Tops;Shirt
205;57032883-46;46;BLUE;P-PLANA;Bottoms;Skirts
206;57040365-69;69;BLUE;P-PLANA;Outerwear;Blazers
207;57025956-37;37;BROWN;K-CIRCULAR;Tops;T-shirt
208;57032890-46;46;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
209;57034774-50;50;BLUE;P-PLANA;Tops;Shirt
210;57081176-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
211;57074434-08;08;WHITE;P-PLANA;Bottoms;Trousers
212;57047745-85;85;PINK;K-CIRCULAR;Tops;T-shirt
213;57056022-99;99;GREY;L-PIEL;Outerwear;Jackets
214;57089098-99;99;GREY;K-CIRCULAR;Outerwear;Jackets
215;57078273-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
216;57078635-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
217;57019102-99;99;GREY;K-CIRCULAR;Tops;Tops
218;53040611-37;37;BROWN;P-PLANA;Bottoms;Shorts
219;53030613-05;05;WHITE;T-TRICOT;Tops;Tops
220;53020667-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
221;53043026-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
222;51030736-70;70;RED;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
223;43089077-01;01;WHITE;T-TRICOT;Tops;Tops
224;51043728-56;56;BLUE;P-PLANA;Outerwear;Blazers
225;53003738-28;28;ORANGE;T-TRICOT;Tops;Sweater
226;51090925-15;15;YELLOW;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
227;51030979-07;07;WHITE;P-PLANA;Tops;Shirt
228;51031021-68;68;PURPLE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
229;53033766-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
230;51053786-52;52;BLUE;P-PLANA;Outerwear;Blazers
231;53083787-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
232;51055033-79;79;RED;P-PLANA;Outerwear;Coats
233;53075772-76;76;RED;P-PLANA;Bottoms;Trousers
234;57075129-76;76;RED;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
235;57077650-91;91;GREY;T-TRICOT;Tops;Cardigans
236;51023794-09;09;WHITE;P-PLANA;Bottoms;Trousers
237;57059604-01;01;WHITE;T-TRICOT;Tops;Sweater
238;47067110-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
239;47055866-02;02;WHITE;P-PLANA;Tops;Shirt
240;57000256-88;88;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
241;57010731-99;99;GREY;P-PLANA;Bottoms;Trousers
242;57050158-TN;TN;GREY;J-JEANS;Bottoms;Shorts
243;57040282-07;07;WHITE;J-JEANS;Bottoms;Shorts
244;57040277-35;35;BROWN;K-CIRCULAR;Bottoms;Trousers
245;57040780-40;40;GREEN;P-PLANA;Bottoms;Trousers
246;57065135-08;08;WHITE;P-PLANA;Outerwear;Jackets
247;57000405-99;99;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
248;57002886-88;88;PINK;J-JEANS;Bottoms;Shorts
249;57074401-56;56;BLUE;K-CIRCULAR;Tops;T-shirt
250;57063800-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
251;57024403-37;37;BROWN;J-JEANS;Bottoms;Jeans
252;57092893-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
253;57064030-99;99;GREY;K-CIRCULAR;Tops;Tops
254;57004047-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
255;57004782-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
256;57061178-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
257;57095804-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
258;57055810-05;05;WHITE;K-CIRCULAR;Tops;T-shirt
259;57029095-99;99;GREY;P-PLANA;Bottoms;Trousers
260;57069100-43;43;GREEN;K-CIRCULAR;Bottoms;Trousers
261;51060587-08;08;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
262;51050592-08;08;WHITE;P-PLANA;Tops;Tops
263;53020606-92;92;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
264;53060624-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
265;53040541-TN;TN;GREY;J-JEANS;Outerwear;Jackets
266;41095829-02;02;WHITE;P-PLANA;Bottoms;Trousers
267;53070640-85;85;PINK;T-TRICOT;Tops;Cardigans
268;53055707-99;99;GREY;P-PLANA;Outerwear;Coats
269;53030653-56;56;BLUE;K-CIRCULAR;Tops;T-shirt
270;53000790-02;02;WHITE;K-CIRCULAR;Tops;Tops
271;53050905-37;37;BROWN;P-PLANA;Tops;Shirt
272;51085730-99;99;GREY;K-CIRCULAR;Outerwear;Coats
273;53033750-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
274;51023052-70;70;RED;K-CIRCULAR;Tops;Tops
275;53031101-07;07;WHITE;K-CIRCULAR;Tops;T-shirt
276;51053787-20;20;ORANGE;P-PLANA;Outerwear;Jackets
277;57017689-99;99;GREY;P-PLANA;Bottoms;Trousers
278;67080516-17;17;YELLOW;T-TRICOT;Tops;Cardigans
279;57017892-92;92;GREY;T-TRICOT;Tops;Sweater
280;57009081-OR;OR;WHITE;T-TRICOT;Tops;Sweater
281;47034012-02;02;WHITE;P-PLANA;Tops;Shirt
282;47065916-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
283;57082505-99;99;GREY;K-CIRCULAR;Bottoms;Trousers
284;57062504-01;01;WHITE;K-CIRCULAR;Tops;T-shirt
285;57055786-56;56;BLUE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
286;57010465-01;01;WHITE;K-CIRCULAR;Tops;T-shirt
287;57092880-01;01;WHITE;K-CIRCULAR;Tops;T-shirt
288;57053797-92;92;GREY;P-PLANA;Tops;Tops
289;57080977-52;52;BLUE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
290;57063799-65;65;PURPLE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
291;57052893-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
292;57063803-02;02;WHITE;P-PLANA;Tops;Shirt
293;57023810-02;02;WHITE;P-PLANA;Tops;Shirt
294;57096308-43;43;GREEN;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
295;57065966-05;05;WHITE;P-PLANA;Bottoms;Skirts
296;57021176-99;99;GREY;P-PLANA;Bottoms;Trousers
297;57015793-09;09;WHITE;P-PLANA;Tops;Shirt
298;57035980-68;68;PURPLE;J-JEANS;Outerwear;Jackets
299;57023820-05;05;WHITE;T-TRICOT;Tops;Sweater
300;57046017-92;92;GREY;P-PLANA;Bottoms;Trousers
301;57028274-01;01;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
302;57065812-43;43;GREEN;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
303;57029103-88;88;PINK;T-TRICOT;Tops;Sweater
304;57099117-99;99;GREY;P-PLANA;Tops;Shirt
305;53030717-02;02;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
306;53000887-56;56;BLUE;K-CIRCULAR;Tops;T-shirt
307;53003729-05;05;WHITE;T-TRICOT;Tops;Sweater
308;53075713-94;94;GREY;T-TRICOT;Tops;Sweater
309;53050926-99;99;GREY;P-PLANA;Bottoms;Skirts
310;53003773-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
311;51093755-99;99;GREY;K-CIRCULAR;Bottoms;Skirts
312;57027877-70;70;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
313;57035910-43;43;GREEN;K-CIRCULAR;Tops;T-shirt
314;57047660-99;99;GREY;P-PLANA;Bottoms;Trousers
315;57035785-99;99;GREY;K-CIRCULAR;Tops;T-shirt
316;57015951-30;30;BROWN;K-CIRCULAR;Tops;T-shirt
317;57015952-08;08;WHITE;K-CIRCULAR;Tops;T-shirt
318;57049085-99;99;GREY;T-TRICOT;Tops;Sweater
319;47097833-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
320;57067702-02;02;WHITE;P-PLANA;Outerwear;Puffer coats
321;57055949-99;99;GREY;P-PLANA;Outerwear;Puffer coats
322;57083261-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
323;57053811-01;01;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
324;57064772-01;01;WHITE;P-PLANA;Tops;Shirt
325;57035798-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
326;57015806-81;81;PINK;T-TRICOT;Tops;Sweater
327;57084424-06;06;WHITE;T-TRICOT;Tops;Sweater
328;57085984-91;91;GREY;K-CIRCULAR;Tops;T-shirt
329;57086311-94;94;GREY;T-TRICOT;Tops;Sweater
330;57067733-35;35;BROWN;K-CIRCULAR;Outerwear;Jackets
331;57007752-99;99;GREY;T-TRICOT;Tops;Sweater
332;57089093-99;99;GREY;P-PLANA;Bottoms;Trousers
333;57086028-85;85;PINK;P-PLANA;Tops;Shirt
334;57007775-70;70;RED;T-TRICOT;Tops;Sweater
335;57059099-PL;PL;GREY;K-CIRCULAR;Tops;Tops
336;43013748-09;09;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
337;53090600-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
338;53020686-TN;TN;GREY;J-JEANS;Bottoms;Jeans
339;53073042-28;28;ORANGE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
340;53080975-08;08;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
341;53071046-28;28;ORANGE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Jumpsuit
342;53015736-99;99;GREY;P-PLANA;Tops;Shirt
343;53021097-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
344;53003784-02;02;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
345;51091106-20;20;ORANGE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
346;57087691-TM;TM;BLUE;J-JEANS;Tops;Shirt
347;57049212-PL;PL;GREY;K-CIRCULAR;Tops;T-shirt
348;57097888-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
349;57019219-OR;OR;WHITE;K-CIRCULAR;Tops;T-shirt
350;47034001-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
351;47005859-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
352;47073770-TN;TN;GREY;J-JEANS;Bottoms;Jeans
353;57020037-01;01;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
354;47085961-05;05;WHITE;J-JEANS;Bottoms;Trousers
355;57020215-88;88;PINK;P-PLANA;Tops;Shirt
356;57040451-01;01;WHITE;J-JEANS;Bottoms;Jeans
357;57022896-TN;TN;GREY;J-JEANS;Bottoms;Jeans
358;57023809-02;02;WHITE;P-PLANA;Tops;Shirt
359;57050481-52;52;BLUE;K-CIRCULAR;Tops;Tops
360;57083807-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
361;57004435-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
362;57085982-TM;TM;BLUE;J-JEANS;Bottoms;Jeans
363;57015987-30;30;BROWN;L-PIEL;Bottoms;Skirts
364;57047709-05;05;WHITE;J-JEANS;Bottoms;Jeans
365;57097724-PL;PL;GREY;T-TRICOT;Tops;Tops
366;57043818-37;37;BROWN;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
367;57057734-43;43;GREEN;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
