;cod_modelo_color;cod_color_code;des_agrup_color_eng;des_fabric;des_product_category;des_product_family;des_filename
17;57084018-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties;datathon/images/2023_57084018_99.jpg
18;57085800-01;01;WHITE;P-PLANA;Tops;Shirt;datathon/images/2023_57085800_01.jpg
19;57004787-07;07;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_57004787_07.jpg
20;57083821-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57083821_99.jpg
21;57049096-65;65;PURPLE;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit;datathon/images/2023_57049096_65.jpg
22;57099098-05;05;WHITE;T-TRICOT;Tops;Tops;datathon/images/2023_57099098_05.jpg
23;57067753-TO;TO;BLUE;J-JEANS;Outerwear;Jackets;datathon/images/2023_57067753_TO.jpg
24;57079104-37;37;BROWN;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57079104_37.jpg
25;57057741-30;30;BROWN;L-PIEL;Outerwear;Coats;datathon/images/2023_57057741_30.jpg
26;43031153-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties;datathon/images/2019_43031153_99.jpg
27;53070567-02;02;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_53070567_02.jpg
28;53060575-52;52;BLUE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2019_53060575_52.jpg
29;53050579-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_53050579_99.jpg
30;53030593-52;52;BLUE;P-PLANA;Tops;Shirt;datathon/images/2019_53030593_52.jpg
31;53030547-05;05;WHITE;J-JEANS;Bottoms;Shorts;datathon/images/2019_53030547_05.jpg
32;53040741-56;56;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53040741_56.jpg
33;53073709-99;99;GREY;P-PLANA;Outerwear;Blazers;datathon/images/2019_53073709_99.jpg
34;53080599-37;37;BROWN;P-PLANA;Bottoms;Trousers;datathon/images/2019_53080599_37.jpg
35;53003725-99;99;GREY;T-TRICOT;Tops;Sweater;datathon/images/2019_53003725_99.jpg
36;53053040-99;99;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_53053040_99.jpg
37;53090974-02;02;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53090974_02.jpg
38;53060987-02;02;WHITE;T-TRICOT;Tops;Tops;datathon/images/2019_53060987_02.jpg
39;53063750-01;01;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_53063750_01.jpg
40;53015744-09;09;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_53015744_09.jpg
41;51015740-02;02;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_51015740_02.jpg
42;53085778-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53085778_99.jpg
43;57097878-43;43;GREEN;P-PLANA;Tops;Shirt;datathon/images/2019_57097878_43.jpg
44;57019206-81;81;PINK;T-TRICOT;Tops;Sweater;datathon/images/2019_57019206_81.jpg
45;57067887-99;99;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57067887_99.jpg
46;57007710-99;99;GREY;T-TRICOT;Tops;Sweater;datathon/images/2019_57007710_99.jpg
47;57059203-85;85;PINK;T-TRICOT;Tops;Sweater;datathon/images/2019_57059203_85.jpg
48;57007709-99;99;GREY;T-TRICOT;Tops;Sweater;datathon/images/2019_57007709_99.jpg
49;57057700-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_57057700_99.jpg
50;47010422-99;99;GREY;P-PLANA;Tops;Shirt;datathon/images/2023_47010422_99.jpg
51;47091297-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2023_47091297_99.jpg
52;57050034-52;52;BLUE;J-JEANS;Tops;Tops;datathon/images/2023_57050034_52.jpg
53;57022001-17;17;YELLOW;P-PLANA;Bottoms;Shorts;datathon/images/2023_57022001_17.jpg
54;57002518-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_57002518_99.jpg
55;57020256-88;88;PINK;K-CIRCULAR;Tops;Tops;datathon/images/2023_57020256_88.jpg
56;57020151-07;07;WHITE;J-JEANS;Bottoms;Shorts;datathon/images/2023_57020151_07.jpg
57;57000374-99;99;GREY;P-PLANA;Bottoms;Shorts;datathon/images/2023_57000374_99.jpg
58;57072516-99;99;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57072516_99.jpg
59;57092003-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases;datathon/images/2023_57092003_CU.jpg
60;57054422-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_57054422_08.jpg
61;57001067-02;02;WHITE;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57001067_02.jpg
62;57078266-TM;TM;BLUE;J-JEANS;Bottoms;Skirts;datathon/images/2023_57078266_TM.jpg
63;57007734-08;08;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2023_57007734_08.jpg
64;57007739-09;09;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2023_57007739_09.jpg
65;57073821-70;70;RED;P-PLANA;Tops;Tops;datathon/images/2023_57073821_70.jpg
66;57057740-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_57057740_99.jpg
67;57096029-99;99;GREY;P-PLANA;Outerwear;Coats;datathon/images/2023_57096029_99.jpg
68;53030594-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2019_53030594_08.jpg
69;53000588-TC;TC;BLUE;J-JEANS;Bottoms;Jeans;datathon/images/2019_53000588_TC.jpg
70;53030547-TM;TM;BLUE;J-JEANS;Bottoms;Shorts;datathon/images/2019_53030547_TM.jpg
71;53090804-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties;datathon/images/2019_53090804_99.jpg
72;53023714-99;99;GREY;T-TRICOT;Tops;Sweater;datathon/images/2019_53023714_99.jpg
73;53050881-17;17;YELLOW;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53050881_17.jpg
74;53083040-08;08;WHITE;T-TRICOT;Tops;Cardigans;datathon/images/2019_53083040_08.jpg
75;53050906-99;99;GREY;P-PLANA;Bottoms;Trousers;datathon/images/2019_53050906_99.jpg
76;53095015-43;43;GREEN;T-TRICOT;Tops;Sweater;datathon/images/2019_53095015_43.jpg
77;53013754-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses;datathon/images/2019_53013754_PL.jpg
78;51055745-TO;TO;BLUE;J-JEANS;Tops;Shirt;datathon/images/2019_51055745_TO.jpg
79;51015766-92;92;GREY;P-PLANA;Bottoms;Trousers;datathon/images/2019_51015766_92.jpg
80;57067883-99;99;GREY;P-PLANA;Tops;Shirt;datathon/images/2019_57067883_99.jpg
81;57044755-80;80;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_57044755_80.jpg
82;57045938-02;02;WHITE;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57045938_02.jpg
83;57049203-17;17;YELLOW;T-TRICOT;Tops;Cardigans;datathon/images/2019_57049203_17.jpg
84;57097696-37;37;BROWN;P-PLANA;Bottoms;Skirts;datathon/images/2019_57097696_37.jpg
85;37010684-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2022_37010684_CU.jpg
86;47095844-02;02;WHITE;T-TRICOT;Bottoms;Skirts;datathon/images/2023_47095844_02.jpg
87;47037825-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2023_47037825_CU.jpg
88;57050037-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties;datathon/images/2023_57050037_OR.jpg
89;57010726-88;88;PINK;P-PLANA;Tops;Shirt;datathon/images/2023_57010726_88.jpg
90;47087132-08;08;WHITE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_47087132_08.jpg
91;57040305-01;01;WHITE;J-JEANS;Bottoms;Jeans;datathon/images/2023_57040305_01.jpg
92;57050382-46;46;BLUE;P-PLANA;Tops;Tops;datathon/images/2023_57050382_46.jpg
93;57015144-TN;TN;GREY;J-JEANS;Bottoms;Jeans;datathon/images/2023_57015144_TN.jpg
94;57010481-20;20;ORANGE;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57010481_20.jpg
95;57065788-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties;datathon/images/2023_57065788_99.jpg
96;57050453-15;15;YELLOW;T-TRICOT;Tops;Tops;datathon/images/2023_57050453_15.jpg
97;57094414-94;94;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57094414_94.jpg
98;57005974-TO;TO;BLUE;J-JEANS;Bottoms;Jeans;datathon/images/2023_57005974_TO.jpg
99;57055983-99;99;GREY;P-PLANA;Tops;Shirt;datathon/images/2023_57055983_99.jpg
100;57091502-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_57091502_OR.jpg
101;57075812-85;85;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57075812_85.jpg
102;57047760-56;56;BLUE;P-PLANA;Outerwear;Coats;datathon/images/2023_57047760_56.jpg
103;57028280-52;52;BLUE;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57028280_52.jpg
104;43040692-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_43040692_OR.jpg
105;53070611-02;02;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_53070611_02.jpg
106;53030677-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses;datathon/images/2019_53030677_32.jpg
107;51060677-08;08;WHITE;P-PLANA;Bottoms;Skirts;datathon/images/2019_51060677_08.jpg
108;53060722-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_53060722_CU.jpg
109;53079062-05;05;WHITE;P-PLANA;Outerwear;Puffer coats;datathon/images/2019_53079062_05.jpg
110;53080880-37;37;BROWN;T-TRICOT;Bottoms;Trousers;datathon/images/2019_53080880_37.jpg
111;43077046-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2019_43077046_05.jpg
112;51003746-85;85;PINK;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_51003746_85.jpg
113;53093047-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_53093047_99.jpg
114;53091077-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_53091077_30.jpg
115;53041096-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_53041096_OR.jpg
116;53065024-30;30;BROWN;P-PLANA;Bottoms;Skirts;datathon/images/2019_53065024_30.jpg
117;51015740-99;99;GREY;P-PLANA;Tops;Shirt;datathon/images/2019_51015740_99.jpg
118;57007697-09;09;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_57007697_09.jpg
119;57007109-92;92;GREY;T-TRICOT;Tops;Sweater;datathon/images/2019_57007109_92.jpg
120;57019209-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_57019209_99.jpg
121;51083792-15;15;YELLOW;P-PLANA;Bottoms;Trousers;datathon/images/2019_51083792_15.jpg
122;57007902-07;07;WHITE;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57007902_07.jpg
123;57027698-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_57027698_99.jpg
124;53035770-56;56;BLUE;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_53035770_56.jpg
125;57027893-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_57027893_99.jpg
126;57029604-56;56;BLUE;P-PLANA;Outerwear;Blazers;datathon/images/2019_57029604_56.jpg
127;67010585-09;09;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2020_67010585_09.jpg
128;47074023-01;01;WHITE;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_47074023_01.jpg
129;57050259-56;56;BLUE;T-TRICOT;Tops;Sweater;datathon/images/2023_57050259_56.jpg
130;57013778-88;88;PINK;P-PLANA;Tops;Shirt;datathon/images/2023_57013778_88.jpg
131;57044397-50;50;BLUE;P-PLANA;Outerwear;Blazers;datathon/images/2023_57044397_50.jpg
132;57000428-01;01;WHITE;P-PLANA;Tops;Shirt;datathon/images/2023_57000428_01.jpg
133;57000451-07;07;WHITE;P-PLANA;Bottoms;Skirts;datathon/images/2023_57000451_07.jpg
134;57006720-56;56;BLUE;P-PLANA;Outerwear;Coats;datathon/images/2023_57006720_56.jpg
135;57074012-07;07;WHITE;K-CIRCULAR;Tops;Shirt;datathon/images/2023_57074012_07.jpg
136;57001096-02;02;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2023_57001096_02.jpg
137;57023811-52;52;BLUE;T-TRICOT;Tops;Sweater;datathon/images/2023_57023811_52.jpg
138;57045972-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2023_57045972_99.jpg
139;57025980-99;99;GREY;P-PLANA;Outerwear;Blazers;datathon/images/2023_57025980_99.jpg
140;57015982-78;78;RED;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57015982_78.jpg
141;57057717-OR;OR;WHITE;K-CIRCULAR;Outerwear;Jackets;datathon/images/2023_57057717_OR.jpg
142;57006011-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_57006011_OR.jpg
143;57027741-20;20;ORANGE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_57027741_20.jpg
144;67040288-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2024_67040288_99.jpg
145;43027025-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_43027025_99.jpg
146;53070584-02;02;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2019_53070584_02.jpg
147;53020606-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2019_53020606_30.jpg
148;53070520-52;52;BLUE;P-PLANA;Bottoms;Shorts;datathon/images/2019_53070520_52.jpg
149;53063714-06;06;WHITE;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53063714_06.jpg
150;53080913-02;02;WHITE;P-PLANA;Bottoms;Skirts;datathon/images/2019_53080913_02.jpg
151;53070860-05;05;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_53070860_05.jpg
152;53045028-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2019_53045028_99.jpg
153;51093789-30;30;BROWN;P-PLANA;Outerwear;Coats;datathon/images/2019_51093789_30.jpg
154;53075778-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53075778_99.jpg
155;57035904-02;02;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_57035904_02.jpg
156;57955903-43;43;GREEN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_57955903_43.jpg
157;53005032-TN;TN;GREY;J-JEANS;Bottoms;Jeans;datathon/images/2019_53005032_TN.jpg
158;57007900-99;99;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57007900_99.jpg
159;57017901-05;05;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_57017901_05.jpg
160;47024024-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_47024024_OR.jpg
161;47037839-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_47037839_30.jpg
162;47037128-08;08;WHITE;P-PLANA;Bottoms;Skirts;datathon/images/2023_47037128_08.jpg
163;57082001-99;99;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57082001_99.jpg
164;57040780-81;81;PINK;P-PLANA;Bottoms;Trousers;datathon/images/2023_57040780_81.jpg
165;47038650-06;06;WHITE;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_47038650_06.jpg
166;57002891-05;05;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57002891_05.jpg
167;57012898-TM;TM;BLUE;J-JEANS;Bottoms;Jeans;datathon/images/2023_57012898_TM.jpg
168;57034017-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_57034017_08.jpg
169;57041115-85;85;PINK;P-PLANA;Tops;Tops;datathon/images/2023_57041115_85.jpg
170;57043803-99;99;GREY;P-PLANA;Bottoms;Trousers;datathon/images/2023_57043803_99.jpg
171;57093811-05;05;WHITE;K-CIRCULAR;Tops;Shirt;datathon/images/2023_57093811_05.jpg
172;57045800-94;94;GREY;T-TRICOT;Tops;Cardigans;datathon/images/2023_57045800_94.jpg
173;57057752-09;09;WHITE;L-PIEL;Outerwear;Jackets;datathon/images/2023_57057752_09.jpg
174;57088634-85;85;PINK;K-CIRCULAR;Tops;Tops;datathon/images/2023_57088634_85.jpg
175;57009098-99;99;GREY;T-TRICOT;Tops;Sweater;datathon/images/2023_57009098_99.jpg
176;41085019-02;02;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_41085019_02.jpg
177;53070609-02;02;WHITE;P-PLANA;Tops;Tops;datathon/images/2019_53070609_02.jpg
178;53010608-50;50;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53010608_50.jpg
179;53063706-56;56;BLUE;P-PLANA;Bottoms;Shorts;datathon/images/2019_53063706_56.jpg
180;53053710-99;99;GREY;P-PLANA;Tops;Shirt;datathon/images/2019_53053710_99.jpg
181;53083715-05;05;WHITE;T-TRICOT;Bottoms;Skirts;datathon/images/2019_53083715_05.jpg
182;53040970-02;02;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53040970_02.jpg
183;53095748-92;92;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53095748_92.jpg
184;53063785-15;15;YELLOW;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2019_53063785_15.jpg
185;53095735-PL;PL;GREY;P-PLANA;Tops;Tops;datathon/images/2019_53095735_PL.jpg
186;53085022-20;20;ORANGE;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53085022_20.jpg
187;53095773-08;08;WHITE;P-PLANA;Bottoms;Skirts;datathon/images/2019_53095773_08.jpg
188;57047884-02;02;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_57047884_02.jpg
189;57004005-15;15;YELLOW;P-PLANA;Bottoms;Trousers;datathon/images/2019_57004005_15.jpg
190;57034384-99;99;GREY;P-PLANA;Tops;Shirt;datathon/images/2019_57034384_99.jpg
191;57019205-99;99;GREY;P-PLANA;Bottoms;Trousers;datathon/images/2019_57019205_99.jpg
192;57004393-99;99;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57004393_99.jpg
193;57069208-99;99;GREY;K-CIRCULAR;Bottoms;Trousers;datathon/images/2019_57069208_99.jpg
194;57047699-37;37;BROWN;P-PLANA;Bottoms;Trousers;datathon/images/2019_57047699_37.jpg
195;47082880-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_47082880_99.jpg
196;47015855-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_47015855_OR.jpg
197;47075862-68;68;PURPLE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases;datathon/images/2023_47075862_68.jpg
198;57010046-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2023_57010046_99.jpg
199;57050176-99;99;GREY;P-PLANA;Bottoms;Trousers;datathon/images/2023_57050176_99.jpg
200;57050250-30;30;BROWN;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57050250_30.jpg
201;57050273-43;43;GREEN;P-PLANA;Tops;Tops;datathon/images/2023_57050273_43.jpg
202;57010756-08;08;WHITE;P-PLANA;Bottoms;Skirts;datathon/images/2023_57010756_08.jpg
203;57010293-05;05;WHITE;J-JEANS;Outerwear;Jackets;datathon/images/2023_57010293_05.jpg
204;57010241-01;01;WHITE;P-PLANA;Tops;Shirt;datathon/images/2023_57010241_01.jpg
205;57032883-46;46;BLUE;P-PLANA;Bottoms;Skirts;datathon/images/2023_57032883_46.jpg
206;57040365-69;69;BLUE;P-PLANA;Outerwear;Blazers;datathon/images/2023_57040365_69.jpg
207;57025956-37;37;BROWN;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57025956_37.jpg
208;57032890-46;46;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57032890_46.jpg
209;57034774-50;50;BLUE;P-PLANA;Tops;Shirt;datathon/images/2023_57034774_50.jpg
210;57081176-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2023_57081176_PL.jpg
211;57074434-08;08;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2023_57074434_08.jpg
212;57047745-85;85;PINK;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57047745_85.jpg
213;57056022-99;99;GREY;L-PIEL;Outerwear;Jackets;datathon/images/2023_57056022_99.jpg
214;57089098-99;99;GREY;K-CIRCULAR;Outerwear;Jackets;datathon/images/2023_57089098_99.jpg
215;57078273-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_57078273_30.jpg
216;57078635-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_57078635_99.jpg
217;57019102-99;99;GREY;K-CIRCULAR;Tops;Tops;datathon/images/2023_57019102_99.jpg
218;53040611-37;37;BROWN;P-PLANA;Bottoms;Shorts;datathon/images/2019_53040611_37.jpg
219;53030613-05;05;WHITE;T-TRICOT;Tops;Tops;datathon/images/2019_53030613_05.jpg
220;53020667-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses;datathon/images/2019_53020667_32.jpg
221;53043026-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit;datathon/images/2019_53043026_99.jpg
222;51030736-70;70;RED;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_51030736_70.jpg
223;43089077-01;01;WHITE;T-TRICOT;Tops;Tops;datathon/images/2019_43089077_01.jpg
224;51043728-56;56;BLUE;P-PLANA;Outerwear;Blazers;datathon/images/2019_51043728_56.jpg
225;53003738-28;28;ORANGE;T-TRICOT;Tops;Sweater;datathon/images/2019_53003738_28.jpg
226;51090925-15;15;YELLOW;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_51090925_15.jpg
227;51030979-07;07;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_51030979_07.jpg
228;51031021-68;68;PURPLE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_51031021_68.jpg
229;53033766-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_53033766_OR.jpg
230;51053786-52;52;BLUE;P-PLANA;Outerwear;Blazers;datathon/images/2019_51053786_52.jpg
231;53083787-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_53083787_OR.jpg
232;51055033-79;79;RED;P-PLANA;Outerwear;Coats;datathon/images/2019_51055033_79.jpg
233;53075772-76;76;RED;P-PLANA;Bottoms;Trousers;datathon/images/2019_53075772_76.jpg
234;57075129-76;76;RED;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_57075129_76.jpg
235;57077650-91;91;GREY;T-TRICOT;Tops;Cardigans;datathon/images/2019_57077650_91.jpg
236;51023794-09;09;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2019_51023794_09.jpg
237;57059604-01;01;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_57059604_01.jpg
238;47067110-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties;datathon/images/2023_47067110_OR.jpg
239;47055866-02;02;WHITE;P-PLANA;Tops;Shirt;datathon/images/2023_47055866_02.jpg
240;57000256-88;88;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57000256_88.jpg
241;57010731-99;99;GREY;P-PLANA;Bottoms;Trousers;datathon/images/2023_57010731_99.jpg
242;57050158-TN;TN;GREY;J-JEANS;Bottoms;Shorts;datathon/images/2023_57050158_TN.jpg
243;57040282-07;07;WHITE;J-JEANS;Bottoms;Shorts;datathon/images/2023_57040282_07.jpg
